ultrascanhumint,6/28/2017 7:16,0,0,Philippines says no deal with militants who seized Marawi : The authorities believe Soganub and… http:// dlvr.it/PQYw03 #Terrorism #Security,,,#Terrorism #Security,8.79841E+17,https://twitter.com/ultrascanhumint/status/879840803140493312,
globaltimesnews,6/28/2017 7:15,1,1,Rescue volunteers take a crash course on cadaver handling by Int'l Red Cross members in Marawi ,,,,,,
nppaimages,6/28/2017 7:14,0,0,President Rodrigo Duterte gave his word on Tuesday that he would see to it that Marawi would rise from the ruins... http:// fb.me/1vzQbptEx,,,,8.7984E+17,https://twitter.com/nppaimages/status/879840462047240193,
cath_valente,6/28/2017 7:14,0,0,‘ Marawi will rise again’ - The Manila Times Online http://www. manilatimes.net/marawi-will-ri se/335275/ …,,,,8.7984E+17,https://twitter.com/cath_valente/status/879840355805351936,
SaidomarSalic,6/28/2017 7:12,0,0,“One thing I will promise you,,,,,,
alisaaaaaid22,1/1/1970 7:59,-1,-1,,,,,8.79839E+17,https://twitter.com/alisaaaaaid22/status/879839256734314497,
SaidomarSalic,6/28/2017 7:09,0,0,“One thing I will promise you,,,,,,
dwiz882,6/28/2017 7:07,0,0,#IZHeadlines Pangulong Duterte,,,,,,
PhilDefNews,6/28/2017 7:07,0,0,Navy's latest SSV delivers 600 tons of relief supplies for affected Marawi residents http://www. pna.gov.ph/articles/997569,,,,8.79839E+17,https://twitter.com/PhilDefNews/status/879838505811050496,
dzrhnews,6/28/2017 7:07,0,0,Negosyo hindi apektado ng Marawi siege. #PangunahingBalita,,,#PangunahingBalita,8.79839E+17,https://twitter.com/dzrhnews/status/879838503999217664,
dzrhnews,6/28/2017 7:06,0,2,Ningning at sigla ng Marawi City,,,,,,
inquirer_libre,6/28/2017 7:05,0,0,ICYMI: 159 bullets found among donations for Marawi http:// ebx.sh/2skc9BU pic.twitter.com/AjE9mXFfxa,,,,8.79838E+17,https://twitter.com/inquirer_libre/status/879838226541948929,
BooksJungle,6/28/2017 7:05,0,0,Konting pahinga,,,,,,
PhilDefNews,6/28/2017 7:05,1,0,Will Duterte heed the message inherent in Marawi ’s Islamist uprising? http://www. scmp.com/comment/insigh t-opinion/article/2100112/will-duterte-heed-message-inherent-marawis-islamist-uprising …,,,,8.79838E+17,https://twitter.com/PhilDefNews/status/879838047252000768,
yusufledesma,6/28/2017 7:04,1,0,Duterte on Marawi siege: I knew it would be a long fight https:// shar.es/1BjEvz via @bworldph,,@bworldph,,8.79838E+17,https://twitter.com/yusufledesma/status/879837810655715330,
remilitari,6/28/2017 7:03,0,0,ISIS claimed 18 killed from the Philippine army during clashes in the city of #Marawi .,,,#Marawi,8.79838E+17,https://twitter.com/remilitari/status/879837525736640512,
i3ryok,6/28/2017 7:03,0,0,Pres. Duterte,,,,,,
NewsRmn,6/28/2017 7:00,0,0,Pagkilala ng senado sa mga nasawing sundalo sa Marawi ,,,,,,
politikomanila,6/28/2017 7:00,0,0,Gary Alejano slams reports of soldier rape threats in Marawi http:// metromanila.politics.com.ph/2017/06/27/gar y-alejano-slams-reports-soldier-rape-threats-marawi/ …,,,,8.79837E+17,https://twitter.com/politikomanila/status/879836743855333376,
abdunnaja,6/28/2017 6:57,0,1,Terindikasi sedikit saja langsung laporkan..biar tidak sampai bikin ribut.jangan sampai seperti marawi .,,,,8.79836E+17,https://twitter.com/abdunnaja/status/879836165225889792,
SusiYalan,6/28/2017 6:52,0,4,Marawi later.,,,,8.79835E+17,https://twitter.com/SusiYalan/status/879834964287602689,
NewsRmn,6/28/2017 6:51,0,0,Mga bihag sa Marawi city,,,,,,
romerojo7,6/28/2017 6:51,0,0,Rody: Marawi will be prosperous again @PhilstarNews https:// shar.es/1Bjiyy They are traders so in time they'll be able to recover.,,@PhilstarNews,,8.79835E+17,https://twitter.com/romerojo7/status/879834530370117632,
chamonforte,6/28/2017 6:49,0,0,Intsik gyod,,,,,,
romerojo7,6/28/2017 6:48,0,0,What happened in Marawi is sad but it should teach people that there are consequences that come with choices.Don't fail to report terrorists,,,,8.79834E+17,https://twitter.com/romerojo7/status/879833924184166400,
JILLRESONTOC,6/28/2017 6:47,1,1,Brosas to Lorenzana on alleged rape threat of government troops vs Marawi women @dwiz882 pic.twitter.com/ow6T05Q9n4,,@dwiz882,,8.79834E+17,https://twitter.com/JILLRESONTOC/status/879833695217111042,
NewsRmn,6/28/2017 6:47,0,0,Tropa ng militar na nakatalaga sa rehabilitasyon,,,,,,
SaulLuisito,6/28/2017 6:46,0,0,http:// news.abs-cbn.com/news/06/27/17/ militants-used-water-route-to-replenish-ammo-bring-out-wounded-army … Help our brothers in Marawi ,,,,,,
sersan1000,6/28/2017 6:45,0,0,Filipino civilians in besieged city of Marawi forced to join Isil and become sex slaves,,,,,,
daytonacharger,6/28/2017 6:44,0,0,Philippines says no deal with Islamists who seized Marawi http:// dailym.ai/2uce6ls via @MailOnline,,@MailOnline,,8.79833E+17,https://twitter.com/daytonacharger/status/879832802581254149,
rmnnetworks,6/28/2017 6:43,0,0,#LATESTNEWS Pagkilala ng senado sa mga nasawing sundalo sa pagkikipagbabakan sa Marawi ,,,,,,
WorldNews_AU,6/28/2017 6:42,0,0,Hostages in Marawi forced to fight and become sex slaves: Philippine army #WorldNews http://www. newslocker.com/en-au/news/wor ld-news/hostages-in-marawi-forced-to-fight-and-become-sex-slaves-philippine-army/ … pic.twitter.com/PIQtH8klhT,,,#WorldNews,8.79832E+17,https://twitter.com/WorldNews_AU/status/879832312095100929,
dzrhnews,6/28/2017 6:41,0,0,Pangulong Duterte,,,,,,
dzrhnews,6/28/2017 6:40,1,0,Krisis sa Marawi City,,,,,,
dzrhnews,6/28/2017 6:40,2,0,Duterte,,,,,,
redslim08,6/28/2017 6:39,0,0,Jollibee sends 5,,,,,,
NewsRmn,6/28/2017 6:39,0,0,Mga babaeng bihag ng Maute terror group,,,,,,
natoreyes,6/28/2017 6:36,19,9,Media reports that there are now 403,,,,,,
davaopress,6/28/2017 6:35,0,1,Retweeted Maria Ressa ( @mariaressa ): China donates P15M for Marawi rehabilitation via @rapplerdotcom ... http:// fb.me/1q2ggC0FZ,,@mariaressa @rapplerdotcom,,8.79831E+17,https://twitter.com/davaopress/status/879830697984307201,
rmnnetworks,6/28/2017 6:35,0,0,#LATESTNEWS Mga bihag sa Marawi city,,,,,,
GlenJAlejo_7,6/28/2017 6:34,0,0,#The PhilippinesIsForJesus LET US PRAY FOR THE PEACE AT MARAWI CITY in the Name of Jesus.,,,#The,8.7983E+17,https://twitter.com/GlenJAlejo_7/status/879830427514449920,
ConceptGrp,6/28/2017 6:34,2,0,PNP tracks source of recovered Maute firearms in Marawi https:// ph.news.yahoo.com/pnp-tracks-sou rce-recovered-maute-105005334.html …,,,,8.7983E+17,https://twitter.com/ConceptGrp/status/879830254709121024,
davaopress,6/28/2017 6:32,0,0,Retweeted The Philippine Star ( @PhilippineStar ): DND chief on rape threats in Marawi : Fake news... http:// fb.me/6oNKYRi4H,,@PhilippineStar,,8.7983E+17,https://twitter.com/davaopress/status/879829938228142080,
kgaynicorn,6/28/2017 6:30,0,0,I read a news about the priest who is held captive by the Maute group in Marawi City. I was saddened by the comments. 1/2,,,,8.79829E+17,https://twitter.com/kgaynicorn/status/879829260562649089,
YahooPH,6/28/2017 6:30,0,0,PNP tracks source of recovered Maute firearms in Marawi https:// ph.news.yahoo.com/pnp-tracks-sou rce-recovered-maute-105005334.html …,,,,8.79829E+17,https://twitter.com/YahooPH/status/879829216199675904,
rmnnetworks,6/28/2017 6:28,0,0,#LATESTNEWS Tropa ng militar na nakatalaga sa rehabilitasyon,,,,,,
rmnnetworks,6/28/2017 6:28,0,0,#LATESTNEWS Mga babaeng bihag ng Maute terror group,,,,,,
DZMMTeleRadyo,6/28/2017 6:25,1,7,Padilla: May loud speaker operation tayo sa loob mismo ng Marawi . Ginagamit din ito sa paghimok sa Maute na i-release ang hostages at sumuko,,,,8.79828E+17,https://twitter.com/DZMMTeleRadyo/status/879827988606369792,
scarsafa,6/28/2017 6:23,0,0,Ancora battaglia a #Marawi fra gli orchetti dell' #ISIS locale e l'esercito di #Philippines . https:// twitter.com/thearabsource/ status/879793045952110596 …,,,#Marawi #ISIS #Philippines,8.79828E+17,https://twitter.com/scarsafa/status/879827640412237824,
manna980,6/28/2017 6:21,11,6,#الفلبين على طريقة بن عباد ب #العراق يكذبون بالوعود بالتحرير الفلبين قالت اسبوع سنحرر #marawi دخلنا شهرين ديسمبر2016 https:// twitter.com/manna987/statu s/804179323498496004?s=09 …,,,# # #marawi,8.79827E+17,https://twitter.com/manna980/status/879827118800203776,
dzbb,6/28/2017 6:21,2,8,Simula alas- kwatro ng umaga,,,,,,
ukgdos,6/28/2017 6:20,0,3,#UmagangBalita Pagkuha sa mga bangkay pagkatapos ng giyera sa Marawi City,,,,,,
ukgdos,6/28/2017 6:20,0,4,#UmagangBalita Ilang galing ng Marawi ,,,,,,
ukgdos,6/28/2017 6:20,0,1,#UmagangBalita Mga insidente ng nakawan sa Marawi City,,,,,,
ukgdos,6/28/2017 6:20,0,1,#UmagangBalita Dagdag na sundalo,,,,,,
ukgdos,6/28/2017 6:20,1,3,#UmagangBalita Bakbakan sa marawi ,,,,,,
cnnphilippines,6/28/2017 6:18,2,7,China donates ₱15M for Marawi recovery http:// cnn.ph/2sWNvJK pic.twitter.com/RoWmNSBxO0,,,,8.79826E+17,https://twitter.com/cnnphilippines/status/879826357424865280,
Jnsptrckslvr,6/28/2017 6:18,0,1,yessssssss letsgo to marawi,,,,8.79826E+17,https://twitter.com/Jnsptrckslvr/status/879826240164724736,
Rendarang,6/28/2017 6:17,0,0,Jolibee sends 5,,,,,,
dzbb,6/28/2017 6:15,1,6,Tulong para sa mga mag-aaral sa lungsod ng Marawi ,,,,,,
SantomeShiela,6/28/2017 6:14,0,1,Luoya sa mga hostage na mga babae sa marawi uy.,,,,8.79825E+17,https://twitter.com/SantomeShiela/status/879825230205599744,
Wombatfinance,6/28/2017 6:13,0,0,yes. And remember Duterte invited the enemy to attack Marawi so every casualty is on his foul lying mouth. Hecshkuld retire in shame,,,,8.79825E+17,https://twitter.com/Wombatfinance/status/879824986143203328,
The_NewArab,6/28/2017 6:12,1,0,Marawi residents tell of abuses as battle for control of the southern Philippines city enters its sixth week http:// trib.al/YBrVNNW,,,,8.79825E+17,https://twitter.com/The_NewArab/status/879824665648279552,
ejanejanejane,6/28/2017 6:09,0,1,Rewatch and remember the different faces of Marawi . #InsideMarawi replays: June 28 - 4pm June 30 - 2pm July 1 -... http:// fb.me/9ayI36paL,,,#InsideMarawi,8.79824E+17,https://twitter.com/ejanejanejane/status/879824096715956225,
dzbb,6/28/2017 6:09,4,4,Mga mag-aaral mula sa Marawi City,,,,,,
plong045,6/28/2017 6:07,0,0,RELIEF OPERATION for MARAWI from government of Agusan del Sur,,,,8.79824E+17,https://twitter.com/plong045/status/879823602589212672,
inquirer_libre,6/28/2017 6:06,0,0,Duterte: I will rebuild Marawi http:// ebx.sh/2sXqsOV pic.twitter.com/DocNo9tks6,,,,8.79823E+17,https://twitter.com/inquirer_libre/status/879823272938016769,
ejanejanejane,6/28/2017 6:06,0,1,Rewatch and remember the different faces of Marawi . #InsideMarawi replays: June 28 - 4pm June 30 - 2pm July 1 -... http:// fb.me/EN3GjUe5,,,#InsideMarawi,8.79823E+17,https://twitter.com/ejanejanejane/status/879823211784839168,
paintsandsings,6/28/2017 6:05,0,0,Going off his past practice...Duterte's probably taken off for a bit of hands on action in ... Marawi ? https:// twitter.com/bi_contributor s/status/879680228590837760 …,,,,8.79823E+17,https://twitter.com/paintsandsings/status/879823065936310272,
_iaiaiaJB,6/28/2017 6:04,0,0,#SendGabrielatoMarawi FU mga abnormal kayo. Siraan niyo pa ang mga militar nagbubuwis na nga ng buhay para mabawi ang Marawi .,,,#SendGabrielatoMarawi,8.79823E+17,https://twitter.com/_iaiaiaJB/status/879822747404124160,
N_Waters89,6/28/2017 6:04,4,3,Anyone recognise the radios used by these IS fighters in Marawi ? @AbraxasSpa ? @CT_operative ? Images courtesy of @y13_v5 pic.twitter.com/DXpCFxpIPx,,@AbraxasSpa @CT_operative @y13_v5,,8.79823E+17,https://twitter.com/N_Waters89/status/879822676738666496,
UnangHirit,6/28/2017 6:03,0,2,Pres. Duterte,,,,,,
jasminnism,6/28/2017 6:03,11,15,Now that 20B Marawi rehab funds has been ordered to be on its way,,,,,,
ezduzit63,6/28/2017 6:02,0,0,Philippines Confirms Islamic State Forcing Civilians into Sex Slavery in Marawi - Breitbart http://www. breitbart.com/national-secur ity/2017/06/27/islamic-state-using-civilians-as-slaves-in-marawi-philippines/ …,,,,8.79822E+17,https://twitter.com/ezduzit63/status/879822340456054785,
MattRaider5,6/28/2017 6:02,0,0,May chekpoint sa paligid ng Marawi .Pulis at Militar. Pag pulis na puro Muklo,,,,,,
inquirerdotnet,6/28/2017 6:00,5,8,Duterte: I will rebuild Marawi http:// ebx.sh/2tSjriv pic.twitter.com/RGbLHTc2lD,,,,8.79822E+17,https://twitter.com/inquirerdotnet/status/879821850288807936,
ANCALERTS,6/28/2017 6:00,3,1,Clear and cloudy skies in Marawi http:// bit.ly/2udMKez,,,,8.79822E+17,https://twitter.com/ANCALERTS/status/879821645564620800,
xB0OF7ZuSk5xnJP,6/28/2017 5:59,0,0,حابب اتعرف ممكن,,,,8.79822E+17,https://twitter.com/xB0OF7ZuSk5xnJP/status/879821629290942472,
marieAnne0915,6/28/2017 5:59,2,4,Akala ko ba 3 days tapos na mga terrorists. Inuuna kc yabang.. Sir visit Marawi naman,,,,,,
andreasharsono,6/28/2017 5:58,8,8,An explanation of the Mautes of Marawi : their parents began with helping Jemaah Islamiyah escapee from Indonesia http:// s.rplr.co/44OBrUY,,,,8.79821E+17,https://twitter.com/andreasharsono/status/879821380568535040,
Wu26Wu,6/28/2017 5:57,0,0,@unhumanrights ,,,,,,
rIchanyoI,6/28/2017 5:57,0,0,kompascom: #Populer Serangan milisi pro-ISIS ke Kota Marawi ,,,,,,
atlugar,6/28/2017 5:56,0,0,ISIS in the Philippines: The Battle for Marawi City http:// buff.ly/2ti7LYD,,,,8.79821E+17,https://twitter.com/atlugar/status/879820864593833985,
dzrhnews,6/28/2017 5:55,0,0,Gun store na konektado sa mga terorista sa Marawi ,,,,,,
vuozmoes,6/28/2017 5:55,0,0,#Populer Serangan milisi pro-ISIS ke Kota Marawi ,,,,,,
islaminthenews7,6/28/2017 5:54,0,0,Philippines says no deal with Islamists who seized Marawi - http:// bndl.tw/miKkDoJl,,,,8.7982E+17,https://twitter.com/islaminthenews7/status/879820282554396672,
PinoyTeleserye1,6/28/2017 5:53,0,0,Watch: QRT: DOH Region-IX,,,,,,
frechiefaith,6/28/2017 5:53,0,0,I pray for peace all over the world! I pray the war will stop. Please,,,,,,
AsianAccess,6/28/2017 5:52,0,0,Christians in Mindanao mostly unaffected by violence in Marawi http:// fb.me/7JpzsIbqJ,,,,8.7982E+17,https://twitter.com/AsianAccess/status/879819840671944704,
DoyNewsPH,6/28/2017 5:52,0,0,GOOD NEWS! Ganito dapat gawin mga Yellowtards..Mag raise ng funds para sa sundalo natin sa Marawi gaya ni Mommy... http:// fb.me/DKoick5G,,,,8.7982E+17,https://twitter.com/DoyNewsPH/status/879819788528140289,
