Qatar_Update,2017-09-11 4:59,0,0,President rules out talks with Marawi militants http:// ift.tt/2wiVPDu #news,,,#news,906985475621171201,https://twitter.com/Qatar_Update/status/906985475621171201
Alicia1711nl,2017-09-11 4:57,0,0,I liked a @YouTube video http:// youtu.be/dNAkzRqwkDA?a Nakakagulat na mga balita Sept 11 2017,,,,,
GulfTimes_QATAR,2017-09-11 4:54,0,0,President rules out talks with Marawi militants http://www. gulf-times.com/story/563361 pic.twitter.com/SghDtKNfKb,,,,906984161923227648,https://twitter.com/GulfTimes_QATAR/status/906984161923227648
ORFnRLzBvptfM2O,2017-09-11 4:49,0,0,ردي,,,,906982890856222722,https://twitter.com/ORFnRLzBvptfM2O/status/906982890856222722
minniseokkie,2017-09-11 4:41,0,1,Seriously? Have you guys seen that ISIS in Marawi,,,,,
marawi_q8,2017-09-11 4:39,3,6,ربي ما يحرمني منك حياتو مشتاقه لك عسي ربي يرجعك لي بخير,,,,906980526728376321,https://twitter.com/marawi_q8/status/906980526728376321
marawi_93,2017-09-11 4:39,0,0,الصديقه اللي تغير السالفه اذا حست انك جبتي العيد انتبهو تفرطو فيها,,,,906980423192006656,https://twitter.com/marawi_93/status/906980423192006656
zicrage76x,2017-09-11 4:34,0,0,Duterte wag ka mag iwan ng war sa pinas na linis mo lalo na sa marawi so si mangibabaw sa mindanao pag tapos.ahh snack lang pala ang marawi,,,,906979285302353920,https://twitter.com/zicrage76x/status/906979285302353920
Maria86439147,2017-09-11 4:01,0,0,qt spin: #PushAwardsMayWards nabusog na si Buang Suna na napaka Wary pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,906970990785306624,https://twitter.com/Maria86439147/status/906970990785306624
Jhodee05,2017-09-11 4:00,0,0,Jhodee05: #PushAwardsMayWards nabusog na si Buang Suna na napaka Wary pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,906970716742017024,https://twitter.com/Jhodee05/status/906970716742017024
chUrlz__,2017-09-11 3:57,0,0,Spinster: #PushAwardsMayWards nabusog na si Buang Suna na napaka Wary pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,906969942830010370,https://twitter.com/chUrlz__/status/906969942830010370
dudus2017,2017-09-11 3:55,0,0,Suna : #PushAwardsMayWards nabusog na si Buang Suna na napaka Wary pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,906969459960807424,https://twitter.com/dudus2017/status/906969459960807424
tessnakis,2017-09-11 3:55,0,0,Atashi : #PushAwardsMayWards nabusog na si Buang Suna na napaka Wary pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,906969424653176832,https://twitter.com/tessnakis/status/906969424653176832
Destilass,2017-09-11 3:55,0,0,Suna : #PushAwardsMayWards nabusog na si Buang Suna na napaka Wary pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,906969365714792449,https://twitter.com/Destilass/status/906969365714792449
