disasters_ph,2017-07-08 20:59,0,0,Suicide Squad' braves bullets to rescue trapped civilians in Marawi City - Manila Bulletin,,,,883671842241875968,https://twitter.com/disasters_ph/status/883671842241875968,en
mokadan_hiroto,2017-07-08 20:54,0,0,"78 evacuation centers shelter 3,982 displaced families from Marawi",,,,883670603583987712,https://twitter.com/mokadan_hiroto/status/883670603583987712,en
RexRyl,2017-07-08 20:53,0,1,Pray for marawi,,,,883670324188823552,https://twitter.com/RexRyl/status/883670324188823552,en
deanjorgebocobo,2017-07-08 20:51,1,0,Bad weather or Bad Optics from the Collateral_Damage? Marawi looks like Mosul from a bombing campaign vs a mere 80 terrorists,,,#,883669933850107904,https://twitter.com/deanjorgebocobo/status/883669933850107904,en
gmanewsfacebook,2017-07-08 20:51,0,0,Civilians who were forced to flee their homes in Marawi City following the attack of Islamic State-linked Maute...,,,,883669882696417280,https://twitter.com/gmanewsfacebook/status/883669882696417280,en
LOCALNEWSNgayon,2017-07-08 20:50,0,0,Red Cross aiding traumatized Marawi victims | Read: via GMA News,,,,883669591897124864,https://twitter.com/LOCALNEWSNgayon/status/883669591897124864,en
acpadilla82,2017-07-08 20:49,0,0,Marawi-born CA justice tops JBC list for SC. PhilippineStarphilippinestar …,,,,883669364762968065,https://twitter.com/acpadilla82/status/883669364762968065,en
thelmabadon,2017-07-08 20:47,0,0,pieceforpeace hueandme philippbadon SUPPORT AND HELP HEAL MARAWI WITH OUR PIECE FOR PEACE…,,,# # #,883668928077078528,https://twitter.com/thelmabadon/status/883668928077078528,en
AsecMargauxUson,2017-07-08 20:47,7,17,"2) Also, Duterte cancelled his trip to Marawi due to bad weather"". CAFGUs endure harsh jungle and mountain weather all throughout the year. """,,,,883668925443039232,https://twitter.com/AsecMargauxUson/status/883668925443039232,en
ObelixCranium,2017-07-08 20:45,0,1,Are they going to Marawi as well for training?,,,,883668289783611393,https://twitter.com/ObelixCranium/status/883668289783611393,en
inquirerdotnet,2017-07-08 20:44,10,32,India offers help in rehabilitation of war-torn Marawi 2,,,,883668211530702852,https://twitter.com/inquirerdotnet/status/883668211530702852,en
arfel15,2017-07-08 20:42,0,0,Pls make it clear because the location is not marawi.,,,,883667696830763012,https://twitter.com/arfel15/status/883667696830763012,en
Philreport,2017-07-08 20:40,0,0,"Turkish government to help feed Marawi students LANAO DEL SUR, Philippines — The Turkish government will help...",,,,883667182269325312,https://twitter.com/Philreport/status/883667182269325312,en
EngdahlFW,2017-07-08 20:40,0,0,The CIA’s Cloddish ISIS Attack on Duterte Politics GeoPolitics Marawi c,,,# # # # # # #,883666993014087684,https://twitter.com/EngdahlFW/status/883666993014087684,en
PhilippineStar,2017-07-08 20:40,1,4,Marawi-born CA justice tops JBC list for SC.,,,,883666981018259459,https://twitter.com/PhilippineStar/status/883666981018259459,en
northbound_ph,2017-07-08 20:38,0,0,August civil service exams in Marawi suspended via northbound_ph,,@,,883666499981922304,https://twitter.com/northbound_ph/status/883666499981922304,en
mariaressa,2017-07-08 20:37,0,2,Air strikes target high-rise snipers in Marawi - via,,@,,883666314732027904,https://twitter.com/mariaressa/status/883666314732027904,en
yusufledesma,2017-07-08 20:35,0,0,Air strikes target high-rise snipers in Marawi via rapplerdotcomhttp://,,@,,883665812808097792,https://twitter.com/yusufledesma/status/883665812808097792,en
roshiroxy,2017-07-08 20:34,0,0,I'm so blessed to be able to help others. Packing relief goods for our fellows in Marawi LiveToInspire EnjoyYourJourney,,,# # #,883665650979229696,https://twitter.com/roshiroxy/status/883665650979229696,en
atearvie,2017-07-08 20:32,0,2,overhears from my mom and her friend from marawi's convo that politicians might be supporting maute grp thats why they wont leave :( :/,,,,883665100338413568,https://twitter.com/atearvie/status/883665100338413568,en
Earl1901ECdocu,2017-07-08 20:29,0,0,God's Spirit be with you as you serve in compassion for the people of Marawi.,,,,883664307552169984,https://twitter.com/Earl1901ECdocu/status/883664307552169984,en
