username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
IWitnessGMA;2017-09-29 17:00;5;14;""No choice but to move forward." Listen to more stories from the war zone in Marawi tomorrow, 11PM, on #IWitness with @sandraguinaldo . pic.twitter.com/sKEovApQb1";;@sandraguinaldo;#IWitness;"913689817615085568";https://twitter.com/IWitnessGMA/status/913689817615085568
KuysJo;2017-09-29 16:56;0;0;"ilan na po ba sundalo ang namatay sa marawi ?";;;;"913688812315828224";https://twitter.com/KuysJo/status/913688812315828224
DianneMurillo;2017-09-29 16:55;0;0;"HOY PUTANGINA GAGO AH GRABE BUHAY DIN NAMIN TO AND FOR YOUR FUCKING INFORMATION DI RIN NAMIN GUSTO ANG NANGYARI SA MARAWI . WE WISHED IT NEVER HAPPENED OR HAD TO HAPPEN PUTANGINA NINYO AH KAKAHIYA KAYO CANCER NG LIPUNAN MYGHAD https:// twitter.com/norcahar/statu s/913682766964781056 …";;;;"913688719575494656";https://twitter.com/DianneMurillo/status/913688719575494656
ChelsyVictorino;2017-09-29 16:55;0;1;"Ang saya nung section namin dati. Nag " marawi scene" pa man din kame tas ngayon puro KAPLASTIKAN na!!";;;;"913688636935127040";https://twitter.com/ChelsyVictorino/status/913688636935127040
NewsRmn;2017-09-29 16:52;0;0;"Napapatay sa gulo sa lungsod ng Marawi , umakyat na sa 936 https:// rmn.ph/napapatay-sa-g ulo-sa-lungsod-ng-marawi-umakyat-na-sa-936/ … via @rmnnetworks";;@rmnnetworks;;"913687889115934720";https://twitter.com/NewsRmn/status/913687889115934720
rapplerdotcom;2017-09-29 16:51;1;0;"Marawi updates: Day 130. Story to follow on http:// rappler.com/nation pic.twitter.com/gW8rjl0riQ";;;;"913687636451106816";https://twitter.com/rapplerdotcom/status/913687636451106816
PHLNewsOnline;2017-09-29 16:48;0;0;"[Rappler] 3 Maute fighters surrender in Marawi https:// goo.gl/fb/rrKcom";;;;"913686793563852800";https://twitter.com/PHLNewsOnline/status/913686793563852800
cgnetwork;2017-09-29 16:43;0;0;"3 Maute fighters surrender in Marawi : MARAWI CITY, Philippines – Three Maute fighters… https:// goo.gl/fb/6cpao1";;;;"913685659642159104";https://twitter.com/cgnetwork/status/913685659642159104
CNNIndonesia;2017-09-29 16:41;2;1;"Duterte Berhenti Kritik AS demi Bantuan Lawan ISIS Marawi http:// cnn.id/244970?s=tw&ca =cms&m=oa … pic.twitter.com/8y8pT7qdvd";;;;"913685050742390784";https://twitter.com/CNNIndonesia/status/913685050742390784
rambotalabong;2017-09-29 16:39;0;0;"3 Maute fighters surrender in Marawi via @rapplerdotcom http:// s.rplr.co/00dN02W";;@rapplerdotcom;;"913684696030048256";https://twitter.com/rambotalabong/status/913684696030048256
manilabulletin;2017-09-29 16:35;2;4;"Duterte hopes to liberate Marawi by end of the month - Read: http:// bit.ly/2xPqTiT #BeFullyInformed";;;#BeFullyInformed;"913683518613463041";https://twitter.com/manilabulletin/status/913683518613463041
carmelafonbuena;2017-09-29 16:34;1;1;"3 Maute fighters surrender in Marawi via @rapplerdotcom http:// s.rplr.co/c6K70pM";;@rapplerdotcom;;"913683279403814912";https://twitter.com/carmelafonbuena/status/913683279403814912
Medien_News;2017-09-29 16:30;0;0;"Das gescheiterte Kalifat - Minuziös hat eine Gruppe Islamisten die Erstürmung der Stadt Marawi vorbereitet. Als... http:// ow.ly/JyOv50ek3tj";;;;"913682500890894337";https://twitter.com/Medien_News/status/913682500890894337
Medien_News;2017-09-29 16:30;0;0;"Marawi – In der zerbombten Stadt leistet der IS erbittert Widerstand http:// ow.ly/46OO50ek3tk";;;;"913682500626583552";https://twitter.com/Medien_News/status/913682500626583552
rclo10;2017-09-29 16:29;2;0;"ICRC Rep JORGE and Regional Delegate to Armed and Security Forces APPADOO Visits Rclo Rclo ten Cdoc re Marawi Incident pic.twitter.com/hlsgciDd3k";;;;"913682051726950400";https://twitter.com/rclo10/status/913682051726950400
RhinoaDavid;2017-09-29 16:25;0;0;"Sumama ka sa gyera sa Marawi at makipaglaban ka! Die for your country!";;;;"913681089285070848";https://twitter.com/RhinoaDavid/status/913681089285070848
rmnnetworks;2017-09-29 16:20;0;0;"Napapatay sa gulo sa lungsod ng Marawi , umakyat na sa 936 http:// fb.me/1EsMSBG4U";;;;"913679797783470082";https://twitter.com/rmnnetworks/status/913679797783470082
patismungcal;2017-09-29 16:19;0;4;"Marawi residents have no more home to go back to https:// twitter.com/rapplerdotcom/ status/913676470102429697 …";;;;"913679719849005056";https://twitter.com/patismungcal/status/913679719849005056
JaneTheRaven13;2017-09-29 16:15;0;0;"Is this the price of Australia's assistance in the Marawi siege? https:// twitter.com/PhilstarNews/s tatus/913651551532548096 …";;;;"913678607268012037";https://twitter.com/JaneTheRaven13/status/913678607268012037
PIAalerts;2017-09-29 16:15;0;0;"PIA11DAVCOMVAL: With the fighting in Marawi City expected to end soon, Defense Secretary Delfin Lorenzana on... http:// fb.me/8YCHIHoUa";;;;"913678526477426688";https://twitter.com/PIAalerts/status/913678526477426688
PTVisMin;2017-09-29 16:14;0;0;"Marawi crisis ‘symptom’ of Mindanao conflict, religious leaders say http:// ptvnews.ph/marawi-crisis- symptom-mindanao-conflict-religious-leaders-say/ …";;;;"913678309883502593";https://twitter.com/PTVisMin/status/913678309883502593
PTVph;2017-09-29 16:14;0;1;"Marawi crisis ‘symptom’ of Mindanao conflict, religious leaders say http:// ptvnews.ph/marawi-crisis- symptom-mindanao-conflict-religious-leaders-say/ …";;;;"913678309094965248";https://twitter.com/PTVph/status/913678309094965248
rapplerdotcom;2017-09-29 16:13;5;14;"3 "regular fighters" of the Maute group have surrendered to the military in Marawi . http:// s.rplr.co/mZFLeza";;;;"913678152693624834";https://twitter.com/rapplerdotcom/status/913678152693624834
khairyalonto;2017-09-29 16:10;0;0;"A night of music and poetry for Marawi 5pm onwards, 21 October 2017… https://www. instagram.com/p/BZniPxQnms1A z6ZnICBld9Sf6ZPk7VZzu3mO8I0/ …";;;;"913677433206972417";https://twitter.com/khairyalonto/status/913677433206972417
PHILAlerts;2017-09-29 16:09;0;0;"TYPHOON NEWS: Maute suffering heavy casualties; Marawi siege won't last long–AFP - http:// Inquirer.net http:// ift.tt/2fvMpyG";;;;"913677144085147648";https://twitter.com/PHILAlerts/status/913677144085147648
newscenterPHL1;2017-09-29 16:05;1;0;"Bilang ng mga nasawing miyembro ng Maute group sa Marawi City, dumarami pa, ayon sa militar. | via @Benjielite #OnlyInThePhilippines";;@Benjielite;#OnlyInThePhilippines;"913676037497618432";https://twitter.com/newscenterPHL1/status/913676037497618432
hanxiaolu07;2017-09-29 16:00;0;0;"Im seeing old friends, schoolmates & batchmates joining the army & w/ the war happening in marawi Im worried for them. May peace be restored";;;;"913674814518304769";https://twitter.com/hanxiaolu07/status/913674814518304769
spinsterAtashi;2017-09-29 15:57;20;2;"#StarMagicBallFanFave Maymay Entrata si Suna Nakahara ay Bruised at nasa marawi ... love u Maymay!";;;#StarMagicBallFanFave;"913674041604677632";https://twitter.com/spinsterAtashi/status/913674041604677632
hersheysgram01;2017-09-29 15:56;0;1;"Tara punta tayo marawi . Sama mo mamike hahahaha";;;;"913673938164518912";https://twitter.com/hersheysgram01/status/913673938164518912
2a2OM1CcLbmpniB;2017-09-29 15:55;0;0;"الله يرحمها ويجعل مثواها الجنه";;;;"913673606089068544";https://twitter.com/2a2OM1CcLbmpniB/status/913673606089068544
maracepeda;2017-09-29 15:52;0;1;"The life of a Maute hostage in Marawi via @rapplerdotcom http:// s.rplr.co/GBNoogJ";;@rapplerdotcom;;"913672716951076866";https://twitter.com/maracepeda/status/913672716951076866
