Arn_Normal,5/28/2017 23:28,0,-1,Sila dapat ang ipadala sa marawi upang sugpuin ang terorismo at mabalik ang katahimikan,"(['Valenzuela City'], Location((37.7751808, -4.220174, 0.0)))",,,8.69E+17,https://twitter.com/Arn_Normal/status/868851544107515904,fil
cari_news,5/28/2017 23:28,0,-1,Menko Polhukam Dukung Filipina Lawan Basis ISIS di Marawi http:// https://,"(['Jakarta Capital Region'], Location((-6.1753942, 106.827183, 0.0)))",,,8.69E+17,https://twitter.com/cari_news/status/868851362443821056,id
PHUpdates123,5/28/2017 23:27,0,-1,Ilang residente ng marawi tumulong makatakas ang rebelde?: http:// via,,@YouTube,,8.69E+17,https://twitter.com/PHUpdates123/status/868851301618208770,fil
PHUpdates123,5/28/2017 23:27,0,-1,I added a video to a playlist http:// Ilang residente ng marawi tumulong makatakas ang rebelde?,,@YouTube,,8.69E+17,https://twitter.com/PHUpdates123/status/868851286720090112,fil
lesignaleurblog,5/28/2017 23:27,0,-1,Combats aux : les corps d’une dizaine de civils retrouvés à Marawi http:// via,,@RFI,#Philippines,8.69E+17,https://twitter.com/lesignaleurblog/status/868851265207504896,fr
karmapolicw,5/28/2017 23:26,0,-1,no puedo creer que estas porongas de trends se lleguen a hacer más virales que y ¿¿??,"(['no s\xc3\xa9'], Location((41.3161662, 1.2669202, 0.0)))",,#PrayForMarawi #PrayForAfghanistan,8.69E+17,https://twitter.com/karmapolicw/status/868850932884398080,es
susilo,5/28/2017 23:26,0,-1,Jubir militer Filipina: Milisi Indonesia tewas dalam pertempuran di Marawi . . a-40059875 …,"(['London', ' England'], Location((51.5073219, -0.1276474, 0.0)))",,,8.69E+17,https://twitter.com/susilo/status/868850867868401664,id
w3ndywi3,5/28/2017 23:25,0,-1,Inwoners Filipijnse stad Marawi vermoedelijk door extremisten geëxecuteerd . 2 6659/inwoners-filipijnse-stad-marawi-vermoedelijk-extremisten-geexecuteerd.html … via,"(['Katwijk', ' Nederland'], Location((52.19660355, 4.39680477612, 0.0)))",@NUnl,,8.69E+17,https://twitter.com/w3ndywi3/status/868850777737109504,nl
salanga17,5/28/2017 23:25,0,-1,MARAWI SIEGE UPDATE This post originally appeared in Bombo Radyo Koronadal 8 ka lalaki nga brutal nga ginpatay... http://,"(['philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,8.69E+17,https://twitter.com/salanga17/status/868850690885525504,fil
HublaaNetwork,5/28/2017 23:24,0,-1,Terjebak konflik di Kota Marawi,"(['Jakarta Capital Region'], Location((-6.1753942, 106.827183, 0.0)))",,,,,id
SaladinAlDronni,5/28/2017 23:23,2,-1,2,,,,,,und
vlad_gonzales,5/28/2017 23:22,2,-1,"Kamusta ang friends na may I just wanna feel safe kaya bombahin natin ang mga terorista sa Marawi kahit may sibilyan go ML"" posts diyan?""","(['Quezon City', ' Philippines'], Location((14.6509905, 121.0486155, 0.0)))",,,8.69E+17,https://twitter.com/vlad_gonzales/status/868849939471716353,fil
DZMMTeleFeed,5/28/2017 23:19,0,-1,41 estudyanteng naipit sa bakbakan sa Marawi,,,,,,fil
inumaginfo,5/28/2017 23:17,0,-1,Philippines: la présence de jihadistes étrangers à Marawi inquiète les autorités http:// via,"(['France'], Location((46.603354, 1.8883335, 0.0)))",@RFI,,8.69E+17,https://twitter.com/inumaginfo/status/868848681956626432,fr
jogjacoret,5/28/2017 23:16,0,-1,Polhukam Dukung Filipina Lawan Basis ISIS di Marawi - Menko Polhukam mendukung upaya Filipina melawan I... http://,"(['Yogyakarta'], Location((-7.8759903, 110.4677497, 0.0)))",,#Menko,8.69E+17,https://twitter.com/jogjacoret/status/868848551916425218,id
oktayhacimusal1,5/28/2017 23:16,0,-1,Duterte’nin sıkıyönetim ilan ettiği Marawi ’de 16 sivil öldürüldü https:// ertenin-sikiyonetim-ilan-ettigi-marawide-16-sivil-olduruldu/ …,,,,8.69E+17,https://twitter.com/oktayhacimusal1/status/868848438947065856,tr
jeanlucponti_,5/28/2017 23:15,0,-1,Wait lang kamusta na ang marawi ??,,,,8.69E+17,https://twitter.com/jeanlucponti_/status/868848255165120513,fil
g4mux,5/28/2017 23:14,0,-1,HINDI SUMANIB 8 INOSENTE PINASLANG ng MAUTE,"(['jakarta - indonesia'], Location((-6.1753942, 106.827183, 0.0)))",,,,,fil
mytopangebote,5/28/2017 23:14,0,-1,Philippinen: Zahlreiche Tote im Kampf um die Großstadt Marawi - ZEIT ONLINE https://,"(['Berlin', ' Germany'], Location((52.5170365, 13.3888599, 0.0)))",,,8.69E+17,https://twitter.com/mytopangebote/status/868847966668423168,de
nti_dasterputih,5/28/2017 23:14,0,-1,"Sy malah kuatir darurat militer ala Duterte kebablasan malah main bumi hangus"" kota Marawi . Semoga bs segera teratasi""","(['Indonesia'], Location((-4.7993356, 114.5632032, 0.0)))",,,8.69E+17,https://twitter.com/nti_dasterputih/status/868847903124606976,id
louisparala,5/28/2017 23:12,0,-1,Delapan Jasad Disertai Tulisan 'Munafik' Ditemukan di Marawi http://,"(['Jakarta'], Location((-6.1753942, 106.827183, 0.0)))",,,8.69E+17,https://twitter.com/louisparala/status/868847567311745024,id
EyveeInfinity,5/28/2017 23:11,0,-1,11:11 Sana matapos na ang gulo sa marawi at walang mangyaring masama sa bawat isa. Ikaw Mads anong Wish mo 11:11 hahaha! 8,"(['santolan', ' pasig city'], Location((15.5399955, 121.0926951, 0.0)))",@madelainepula,,8.69E+17,https://twitter.com/EyveeInfinity/status/868847180760530944,fil
FrancescoTedes2,5/28/2017 23:09,5,-1,Preghiera per le vittime del terrorismo e la violenza in (Mindanao) e in tutto il mondo http:// C,"(['Roma'], Location((41.8933203, 12.4829321, 0.0)))",,#Marawi,8.69E+17,https://twitter.com/FrancescoTedes2/status/868846774928240640,it
JesielGozon,5/28/2017 23:07,0,-1,matanty12: RT: PBBYasNerOFC Kowts para sa marawi ! YASNER ForASAPDanceProd YNC,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,8.69E+17,https://twitter.com/JesielGozon/status/868846110491779075,fil
JesielGozon,5/28/2017 23:07,1,-1,TannersHeroine: PBBYasNerOFC Kowts para sa marawi ! YASNER ForASAPDanceProd YNC,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,8.69E+17,https://twitter.com/JesielGozon/status/868846108755275776,fil
WeLove_Tanner,5/28/2017 23:06,0,-1,RT: PBBYasNerOFC Kowts para sa marawi ! YASNER ForASAPDanceProd YNC,"(['Republic of the Philippines'], Location((12.7503486, 122.7312101, 0.0)))",,,8.69E+17,https://twitter.com/WeLove_Tanner/status/868845909609783296,fil
