TimsDOTA,5/23/2017 23:57,#PrayForMarawi,"(['Republic of the Philippines'], Location((3.1518365, 101.714515999, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
sammymrqz,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
mydonnyboy,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
OnlyNoems,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
JeffreyGalman,5/23/2017 23:57,#PrayForMarawi,"(['Paombong', ' Bulacan'], Location((14.8362243, 120.7868318, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
kflsoriano,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
EyprelGibara,5/23/2017 23:57,#PrayForMarawi,"(['ph'], Location((12.44249325, 122.160395164, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
LizquenM,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
arslorch,5/23/2017 23:57,#PrayForMarawi,"(['Pasig'], Location((14.5605151, 121.0767129, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
_MarianFaith,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
Ardeeeeeeeeee,5/23/2017 23:57,#PrayForMarawi,"(['Hacienda del Patron'], Location((13.67253335, -89.2953716249, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
msardieem,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
baekhyuunnnn,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
laurahzn,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
ImChayMarquez,5/23/2017 23:57,#PrayForMarawi,"(['Pasig City', ' Philippines'], Location((9.7771753, 125.4915723, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
Zaldsss,5/23/2017 23:57,#PrayForMarawi,"(['Manila'], Location((14.5906216, 120.9799696, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
_imangelicaprvr,5/23/2017 23:57,#PrayForMarawi,"(['ph'], Location((12.44249325, 122.160395164, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
_hxnsj,5/23/2017 23:57,#PrayForMarawi,"(['\xc3\xa1'], Location((40.7696272, 44.6736646, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
neverbexlone,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
_rixnne,5/23/2017 23:57,#PrayForMarawi,,en,0.035032,0.028972,0.4138,0.584248,0.158603
NJ_Vandarts,5/23/2017 23:57,#PrayForMarawi,"(['Republic of the Philippines'], Location((3.1518365, 101.714515999, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
kathhhpantaleon,5/23/2017 23:57,#PrayForMarawi,"(['Bicol', ' PH\xc2\xa0\xf0\x9f\x8c\xbe'], Location((13.100588, 123.523133109, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
ahpaaul,5/23/2017 23:57,#PrayForMarawi,"(['Manila City'], Location((14.5906216, 120.9799696, 0.0)))",en,0.035032,0.028972,0.4138,0.584248,0.158603
